Postgres (dotConnect.Express.for.PostgreSQL);1000;3425.7729;2334.5579;3595.7055;3533.2353
Postgres (dotConnect.Express.for.PostgreSQL);1000;3402.5694;2304.2542;3471.4921;3381.7506
Postgres (dotConnect.Express.for.PostgreSQL);1000;3370.8291;2277.7423;3465.2642;3352.5154
Postgres (Npgsql);100;3369.3996;113.1218;1029.8688;1332.0851
Postgres (dotConnect.Express.for.PostgreSQL);1000;3352.7037;2267.5862;3403.5585;3421.0612
Postgres (dotConnect.Express.for.PostgreSQL);1000;3343.2906;2255.4869;3389.9241;3409.3852
Postgres (dotConnect.Express.for.PostgreSQL);1000;3327.1862;2279.5596;3362.9747;3405.7316
Postgres (dotConnect.Express.for.PostgreSQL);1000;3319.2749;2294.4176;3873.1447;3998.0172
Postgres (dotConnect.Express.for.PostgreSQL);1000;3303.6258;2240.9844;3371.511;4363.2912
Postgres (dotConnect.Express.for.PostgreSQL);1000;3269.058;2143.0637;3239.709;3283.4812
Postgres (dotConnect.Express.for.PostgreSQL);1000;3225.4101;2125.5639;3245.3433;8091.8422
Postgres (dotConnect.Express.for.PostgreSQL);1000;3224.9617;2176.8034;3305.9237;3239.3684
Postgres (dotConnect.Express.for.PostgreSQL);1000;3218.1503;2138.7519;3752.2184;4332.2479
Postgres (dotConnect.Express.for.PostgreSQL);1000;3173.5667;2304.4568;7497.6388;3758.9385
Postgres (dotConnect.Express.for.PostgreSQL);1000;3166.4237;2111.7179;5590.0215;7665.7045
Postgres (Npgsql);1000;3160.6695;1310.7271;2641.989;2470.7829
Postgres (dotConnect.Express.for.PostgreSQL);1000;3153.694;2117.59;3270.6112;3734.172
Postgres (dotConnect.Express.for.PostgreSQL);100;3153.1724;303.0914;457.6001;462.3281
Postgres (Npgsql);100;3134.9356;118.632;279.7448;274.7589
Postgres (Npgsql);100;3096.9769;121.2269;625.7038;281.8818
Postgres (Npgsql);1000;3013.483;1306.2739;3044.1643;3020.037
Postgres (Npgsql);1000;2986.8387;1220.1681;2864.2826;2578.2763
Postgres (Npgsql);1000;2976.1779;1320.7985;3205.4711;2894.472
Postgres (Npgsql);1000;2968.4016;1343.6046;2882.859;2932.0735
Postgres (Npgsql);1000;2940.6771;1321.8008;3096.6837;3031.5113
Postgres (Npgsql);1000;2934.2064;1201.7728;2912.6641;2838.0917
Postgres (Npgsql);1000;2923.7274;1139.2796;2727.2488;2264.0263
Postgres (Npgsql);1000;2903.4802;1196.5268;2794.4963;2344.097
Postgres (Npgsql);1000;2892.1682;1306.0175;2551.5428;2509.2947
Postgres (Npgsql);1000;2869.5735;1309.8478;2600.7417;9486.0838
Postgres (dotConnect.Express.for.PostgreSQL);100;2862.1185;523.2081;1363.6811;1187.9133
Postgres (Npgsql);1000;2857.6532;1513.4351;2660.5046;2498.3104
Postgres (Npgsql);1000;2838.3726;1200.0863;2347.7662;2268.4488
ClickHouse (ClickHouse.Ado);100;2810.8905;3026.9741;4267.4921;3394.0774
Postgres (Npgsql);1000;2808.8093;1177.4345;2368.8524;2324.7802
Postgres (Npgsql);1000;2780.3893;1253.4867;2737.7908;2359.0566
Postgres (Npgsql);1000;2751.7602;1176.8524;2335.0288;2317.418
Postgres (Npgsql);1000;2749.3708;1115.7886;2215.4247;2268.4701
Postgres (Npgsql);1000;2724.8186;1196.6588;2438.1801;2305.6936
ClickHouse (ClickHouse.Ado);100;2712.1204;1411.1983;955.6969;1488.5913
Postgres (Npgsql);1000;2693.4305;1148.1413;2903.3421;2648.6619
ClickHouse (ClickHouse.Ado);100;2692.5;503.2333;1338.1215;1373.6659
ClickHouse (ClickHouse.Ado);100;2691.8128;494.1094;893.0806;2867.5329
ClickHouse (ClickHouse.Ado);100;2691.248;507.0077;1874.0073;1321.8071
ClickHouse (ClickHouse.Ado);100;2685.6232;1096.2305;1241.6737;1260.1144
Postgres (Npgsql);1000;2674.1844;1121.0901;2414.5091;2200.8784
Postgres (Npgsql);1000;2661.9323;1115.3354;2697.0674;8604.1748
ClickHouse (ClickHouse.Ado);100;2659.5246;796.5286;1512.0151;943.3516
Postgres (Npgsql);1000;2653.6587;1115.6292;2720.8373;8221.567
Postgres (Npgsql);1000;2645.9421;1106.845;2807.6056;2660.631
Postgres (Npgsql);1000;2638.5708;2129.7508;4321.2186;2789.3632
Postgres (Npgsql);1000;2634.6884;1115.4223;3352.921;2899.3945
Postgres (Npgsql);1000;2624.4706;1122.163;2708.6865;2673.1442
ClickHouse (ClickHouse.Ado);100;2613.0757;1127.2522;1602.454;2111.2186
Postgres (Npgsql);1000;2612.5997;1114.4398;2230.4313;2260.5943
ClickHouse (ClickHouse.Ado);100;2595.665;1243.7212;1454.9812;1517.8264
Postgres (Npgsql);100;2592.2735;153.8833;1875.8864;445.1701
Postgres (Npgsql);100;2564.2531;117.3508;1007.1659;1365.5492
